cited_by_fbwalls_count,cited_by_feeds_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_rdts_count,cited_by_tweeters_count,cited_by_videos_count,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,altmetric_id
0,3,3,0,22,0,7,1,"['572', '1538', '817', '4547']","['4', '13', '6', '38']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '1', '0', '2']",1102767
3,2,0,2,29,0,13,4,"['2672', '12966', '12392', '31938']","['135', '702', '498', '1424']","['1', '35', '5', '34']","['0', '0', '0', '0']","['5', '86', '15', '181']",1102965
39,16,8,18,193,3,72,4,"['14', 0, '95079', '164']","['0', 0, '1258', '0']","['0', 0, '147', '0']","['0', 0, '0', '0']","['0', 0, '373', '0']",110311
4,0,0,4,154,0,13,4,"['56569', '8536', '850', '65']","['2349', '604', '29', '6']","['55', '14', '0', '0']","['0', '0', '0', '0']","['198', '62', '9', '2']",1103293
1,0,0,2,17,0,3,4,"['5', '341', '9323', '15874']","['2', '8', '530', '746']","['0', '0', '16', '15']","['0', '0', '0', '0']","['1', '5', '99', '138']",1104759
12,10,0,14,81,0,14,3,"['172555', '51562', '77037', '32521']","['6077', '2751', '4677', '2698']","['88', '86', '84', '33']","['0', '0', '0', '0']","['504', '644', '648', '240']",110506
0,0,0,0,14,0,0,1,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",11051928
20,6,1,9,114,3,57,4,"['3915', '22693', '1438', '49976']","['105', '1296', '9', '265']","['28', '33', '7', '26']","['0', '0', '0', '0']","['24', '365', '1', '1']",1106289
4,1,1,2,49,0,30,4,"['3', '21', '10', '21663']","['0', '2', '0', '651']","['0', '0', '0', '41']","['0', '0', '0', '0']","['0', '0', '0', '36']",1106664
20,25,3,20,192,1,99,4,"['1934377', '527', '47311', '2230']","['83264', 0, 0, '299']","['2972', 0, 0, '4']","['0', '0', '0', '0']","['8760', 0, '43', '31']",110911
22,16,8,13,609,2,335,3,"['741', '34558', '23095', '4761']","['39', '200', '216', '146']","['2', '33', '10', '16']","['0', '0', '0', '0']","['8', 0, 0, '134']",111022
3,2,5,0,18,0,3,4,"['4', '5950', '951', 0]","['0', '466', 0, 0]","['0', '3', 0, 0]","['0', '0', '0', 0]","['0', '75', '7', 0]",1111848
0,0,0,0,7,0,2,4,"['3070', '6381', '229247', '29520']","['137', '674', '4535', '602']","['3', '24', '136', '10']","['0', '0', '0', '0']","['25', '123', '307', '22']",1113161
2,26,0,13,207,0,68,3,"['2411', '10577', '30651', '2318']","['146', '976', '1221', '28']","['1', '12', '36', '13']","['0', '0', '0', '0']","['49', '115', '175', '12']",111385
6,5,2,7,173,4,136,4,"['90465', 0, '83382', '19568']","['3888', 0, '1996', '49']","['42', 0, '36', '5']","['0', 0, '0', '0']","['362', 0, '249', '6']",111436
0,0,0,0,8,1,3,4,"['135', '524', '335254', '7335642']","['36', '57', '7896', '172546']","['2', '0', '108', '1879']","['0', '0', '0', '0']","['11', '8', '399', '16924']",111600
0,0,0,0,6,0,0,4,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",11172089
12,2,0,2,53,0,29,4,"['14130', '424', '223', '528787']","['1123', '30', '4', '12497']","['19', '0', '0', '186']","['0', '0', '0', '0']","['161', '8', '0', '2013']",1118182
1,1,0,0,14,0,8,4,"['392433', '13', '634', '1411']","['16400', '0', '61', 0]","['405', '1', '0', 0]","['0', '0', '0', '0']","['1080', '0', '10', '0']",1118580
0,0,0,0,7,0,1,4,"['3812', '1233', '5259', '17205']","['152', '63', '235', '950']","['0', '3', '1', '10']","['0', '0', '0', '0']","['14', '11', '33', '99']",1123056
0,1,0,0,17,0,3,2,"['2694', '690', '664', '368']","['37', '7', '4', '8']","['1', '0', '0', '0']","['0', '0', '0', '0']","['1', '0', '0', '0']",11238099
0,0,0,0,9,0,0,4,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",11259797
11,3,1,0,44,0,3,3,"['896', '480', '143004', '10817']","['51', '37', '6759', 0]","['19', '7', '2074', 0]","['0', '0', '0', '0']","['227', '123', '2723', '2']",1127504
32,15,15,8,337,0,227,4,"['4083', '2983', '72377', '13622']","['97', '129', '1661', '51']","['26', '6', '59', '0']","['0', '0', '0', '0']","['10', '9', '183', '8']",1131304
17,19,0,14,197,0,74,3,"['422009', 0, 0, 0]","['16363', 0, 0, 0]","['948', 0, 0, 0]","['0', 0, 0, 0]","['7303', 0, 0, 0]",113777
60,1,2,3,334,3,213,4,"[0, '4831', '20121', '98001']","[0, '88', '171', '2679']","[0, '5', '28', '372']","[0, '0', '0', '0']","[0, '40', '21', '791']",1137875
3,11,1,10,61,1,22,4,"['1387', '987', '581', '6029']","['130', '21', '47', '296']","['9', '5', '0', '9']","['0', '0', '0', '0']","['12', '18', '27', '215']",113823
2,2,0,0,21,0,9,4,"['3648', '2773', '4579', 0]","['295', '112', '794', 0]","['5', '9', '12', 0]","['0', '0', '0', 0]","['60', '63', '180', 0]",1138625
7,0,0,1,18,0,1,3,"['899', '3408', '36', '29986']","['87', '104', '0', '689']","['1', '7', '0', '17']","['0', '0', '0', '0']","['1', '3', '0', '19']",1139649
